Delicate, Taylor Swift 
Truth Hurts, Lizzo 2017 
Oye Como Va, Santana 
The House of the Rising Sun, The Animals 
No Ordinary Love, Sade 
Summertime Sadness, Lana Del Rey 
The Rain, Missy Elliot 
Africa, Toto 
Tyrone, Erykah Badu 
Savage (Remix), Megan Thee Stallion featuring Beyonce 
Call Me Maybe,Carly Rae Jepsen 
Sign of the Times, Harry Styles 
Super Bass, Nicki Minaj 
California Dreamin’, Mamas and the Papas 
Fantasy, Mariah Carey 
Enjoy the Silence, Depeche Mode 
Hot girl bummer, blackbear 
Angels Like You, Miley Cyrus 
Typical Girls, The Slits 
Blank Space, Taylor Swift 
Sweet Dreams, The Eurythmics 
Dynamite, BTS 
Woman, Doja Cat 
I’m a Believer, Monkees 
Umbrella, Rihanna 
Need to Know, Doja Cat 
Dancing Queen, ABBA 
Hotel Room Service, Pitbull 
Killing Me Softly With His Song, Roberta Flack 
River, Joni Mitchell 
Single Ladies, Beyonce. 
…Baby One More Time, Britney 
Into the Groove, Madonna 
Vogue, Madonna 
Heart of Glass, Blondie 
Thank U, Next, Arianna Grande 
Fake smile, Ariana Grande 
What’s Love Got to Do With It, Tina Turner 
Thee One that Got Away, Katy Perry 
Let It Be, Beatles 
Turning Table, Adele 
Toxic, Britney Spears 
Higher Ground,Stevie Wonder 
Pov, Ariana Grande 
Payphone, Maroon 5 
S&M, Rihanna 
Maps Yeah Yeah Yeahs 
Material Girl, Madonna 
Poker Face, Lady Gaga 
Boom Boom Pow, Black Eyed Peas 
Position, Ariana Grande 
I Will Always Love You, Whitney Houston 
Disturbia, Rihanna 
7 Rings, Ariana Grande 
Firework, Katy Perry 
I Gotta Feeling, Black Eyed Peas 
Rolling in the Deep, Adele 
What’d I Say, Ray Charles 
You Right, Doja Cat 
Come & Get It, Selena Gomez 
Buttons, The Pussycat Dolls 
Formation, Beyonce 
Only Girl, Rihanna 
All Too Well, Taylor Swift 
Heather, Conan Gray 
Driver’s License, Olivia Rodrigo 
My Humps, Black Eyed Peas 
Like a Prayer, Madonna 
Mirror, Lil Wayne 
Rumors, Lizzo 
4 Minutes, Madonna 
Motive, Arianna Grande 
Royals, Lorde 
Fue major, Kali Uchis 
Gimme More, Britney Sprears 
Don't Start Now, Dua Lipa 
Crazy in Love, Beyonce 
Survivor, Destiny’s Child 
Telepatía, Kali Uchis 
Peaches, Justin Bieber 
Rules, Doja Cat 
When I Grow Up, The Pussycat Dolls 
Why don’t you love me, Beyonce 
Get Your Freak On, Missy Elliott 
Happier, Olivia Rodrigo 
Womanizer, Britney Sprears 
Dark Horse, Katy Perry 
