Stronger, Kanye - Hip Hop/Rap
Baby Love, Supremes - R&B/Soul
Delicate, Taylor Swift - Pop
Clint Eastwood, Gorillaz - Rock
Pancho and Lefty, Townes Van Zandt - Country
Truth Hurts, Lizzo 2017 - Pop
Without You, Nilsson, - Classic Rock
JAPAN, Famous Dex - Hip Hop/Rap
Six Feet under, Billie Eilish - Alternative/Indie
You’re So Vain, Carly Simon - Rock
Time After Time, Cyndi Lauper - Rock
Where Is My Mind, The Pixies - Alternative/Indie
So What, Miles Davis - Jazz
Welcome to the Jungle, Guns ‘n’ Roses - Rock
Old Town Road, Lil Nas X - Hip Hop/Rap
Cannonball, The Breeders - Alternative/Indie
 House of Balloons,The Weeknd - R&B/Soul
Cranes in the Sky, Solange - R&B/Soul
A Milli, Lil Wayne - Hip Hop/Rap
212, Azealia Banks -  Electronic dance
Buddy Holly, Weezer - Rock
I Can’t Help Myself, Four Tops - R&B/Soul
Bad Romance, Lady Gaga - Electronic Dance
Cross Road Blues, Robert Johnson - Blues
Just a Friend, Biz Markie - Hip Hop/Rap
Oye Como Va, Santana - pop
Back That Azz Up, Juvenile - Hip Hop/Rap
Our Lips Are Sealed,The Go-G0s - pop
Sunday Morning Coming Down, Kris Kristofferson - Country
Rhythm Nation, Janet Jackson - Rock
Move On Up, Curtis Mayfield - Soul
So What, Pink - Rock
Stand By Your Man,Tammy Wynette -Country
Solsbury Hill, Peter Gabriel -Rock
The House of the Rising Sun, The Animals - Pop
Midnight Train to Georgia,” Gladys Knight and the Pips - R&B/Soul
Goodbye Earl, Dixie Chicks - Country
Fade Into You, Mazzy Star - Rock
Come As You Are, Nirvana - Alternative/Grunge
Nocturne, Yoko Shimomura - Classic
MIDDLE CHILD, J. Cole - Hip Hop/Rap
Never Too Much, Luther Vandross - R&B/Soul
Get Lucky, Daft Punk - Disco/Electronic Dance
Help Me, Joni Mitchell - Folk/ Rock
Boom Boom, John Lee Hooker - Blues
Into the Mystic, Van Morrison - Rock
Crying, Roy Orbison - Rock
No Ordinary Love, Sade - Pop
